timepoint,x_left_voxel,y_left_voxel,z_left_voxel,x_right_voxel,y_right_voxel,z_right_voxel
81,10.894304051752796,49.05618092676172,14.894218905188536,10.728106187427164,50.409803956309254,32.63301462397573
82,10.866407323020987,49.06376610219715,14.90700117725731,10.741058170065616,50.376509430676805,32.667676617162535
83,10.90988797163299,48.94478296634827,14.900664563663701,10.92474413847695,50.44465907313098,32.63177306256261
84,10.867146846792151,48.88179069225451,14.875640659058728,10.898659197623628,50.3722928129952,32.6343281662057
85,10.891449063681394,48.948441224954514,14.835038855693973,10.896536321419932,50.39894673487812,32.669389814306705
86,10.867549198403713,48.9184538290375,14.824340845964645,10.89378074508877,50.40912984321348,32.64444841909777
87,10.916621891173303,48.94255180600338,14.896644445582107,10.938378909233263,50.421892271991325,32.6220581396796
88,10.874035339438135,48.92518007935935,14.902397934547228,10.85243484785056,50.34968871768205,32.61203754285646
89,10.820871061768898,48.91638846172103,14.89876011018294,10.870999166088605,50.414799548235386,32.6776137362486
90,10.886409135676905,48.92013462664972,14.819400339983293,10.90241404692185,50.3779537398418,32.67523812300696
91,10.866507757484051,48.83339771981545,14.859371393938908,10.891535072144478,50.38778713453683,32.69494831638729
92,10.892809315777948,48.92387738275806,14.841648325143982,10.909446710435086,50.39136115640436,32.66059850046143
93,10.907929329326738,49.00406988815,14.868023040323443,10.893177377742992,50.43513928747427,32.67261269095864
94,10.889959747571321,48.94712468471836,14.836701905901414,10.893695591796225,50.399472586516914,32.69130038014943
95,10.858312839334278,48.932795296010916,14.853651646060912,10.869782724285175,50.4269159778227,32.68568688030394
96,10.88565264449303,48.93162654998461,14.847902454109184,10.927225990559839,50.3588894845356,32.663486998556884
97,10.984330566035753,48.89183458212727,14.918077862918285,10.986158719815888,50.332219029695125,32.62459347268772
98,10.850078126993662,48.90960186641069,14.829281231658314,10.869770738407,50.4219809946269,32.67940322850063
99,10.84615879247495,48.92351680056307,14.83746703267398,10.86344715854663,50.410551721393794,32.68274876636068
100,10.848525370410925,48.94047841317483,14.84871207709674,10.85959354867911,50.41851450641964,32.69270469667024
101,10.882848990816726,48.91514660527709,14.805828983781133,10.87784004628169,50.39698638263894,32.674200611781664
102,10.844951694175528,48.88469240993493,14.85486033962863,10.871247235746951,50.4155820377823,32.695139566450614
103,10.872078342624341,48.92604374146152,14.85367310479328,10.887634027260583,50.39979253112033,32.695202799352174
104,10.870461021697947,48.97354468137606,14.884015274527597,10.886440984525246,50.42332569330989,32.69047230763301
105,10.88920026594953,48.94432674082822,14.827922219686219,10.881390900128618,50.40878138359972,32.68294855822848
106,10.901876715326248,48.960627835163834,14.815978671816202,10.888504982188188,50.375072496936006,32.71660458379381
107,10.875857241231264,48.95571818880848,14.814776402137545,10.85748527706708,50.41438187887135,32.682338652872815
108,10.84558440413696,48.88537471597587,14.847201872600486,10.870293647053828,50.39610534752452,32.70140427587289
109,10.888850371597913,48.98502616827171,14.834157365735603,10.885777059077945,50.40931594173381,32.693036161487406
110,10.895909586363343,48.956892234860675,14.835887726044147,10.884812687061235,50.397207772594555,32.70546577294236
111,10.88535286205588,48.97556807006181,14.826922656642699,10.879209692743455,50.405535145464235,32.6694141561066
112,10.878968685737327,48.943861050380725,14.8463240358085,10.891617683536518,50.376674696170404,32.67640468462047
113,10.876183649638733,48.91073409407647,14.861417428659635,10.909608715281744,50.372311903512255,32.664255025304776
114,10.837600859196431,48.94112902216336,14.803195449663656,10.858314673822877,50.41318877208109,32.69179716213974
115,10.893507755197337,48.92164816987631,14.799587161136756,10.902401075870463,50.34206741859803,32.70438716612186
116,10.841656298480487,48.847385601584286,14.85631259745805,10.879706029772022,50.354216477675884,32.71468846239159
117,10.93960878466335,48.97302389995775,14.918111629987441,10.90462600400712,50.37777330430724,32.739326912913405
118,10.914548410392193,48.99078449754471,14.852491494119747,10.902501488693193,50.373364252966496,32.68786642427998
119,10.884223750232298,48.97046199591154,14.858654772966611,10.881895510473301,50.404939032992964,32.685339641859386
120,10.844706140933207,49.013702267699195,14.877157466927832,10.859992763846485,50.432900534606084,32.69609036264171
121,10.885375285956275,48.94975393468814,14.816369185221438,10.874885115335308,50.42652184379955,32.68025893076324
122,10.869999088180764,48.94955384586725,14.825836643171797,10.869551038535477,50.40800077197678,32.67516403053261
123,10.86937648703227,48.98292312119769,14.833425421271677,10.877302828929427,50.41381080188882,32.689397040460435
124,10.882020757095058,48.985758523879326,14.853648800155394,10.904976106688977,50.43377794735886,32.65068301081003
125,10.88744635952089,49.00342424706844,14.83917434924078,10.902591943700543,50.428957156352766,32.675339645991386
126,10.899802880753581,49.0112265012168,14.853594029694214,10.884208267158861,50.41463593309582,32.66598331687914
127,10.884498659359439,48.96774202897291,14.851392493475517,10.882890940531805,50.40428295702798,32.67666891239443
